################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4034651142260790E-01 a         1     0     1     1     1
  2.5350169478226357E-02 a         2     0     1     1     2
 -9.9629493329855726E-02 a         3     0     1     1     3
  2.4745856120915780E-01 a         4     0     1     1     4
  1.5174375491890843E-01 a         5     0     1     1     5
  3.7442481408435335E-01 a         6     0     1     1     6
  1.6143846231128350E-01 a         7     0     1     1     7
 -5.5651806497929363E-02 a         8     0     1     1     8
 -1.7884249488666856E-01 a         9     0     1     1     9
 -1.4592326286060961E-01 a        10     0     1     1    10
 -3.2215609148080332E-01 a        11     0     1     1    11
 -7.2155337091593325E-03 a        12     0     1     1    12
 -3.1523056788682219E-01 a        13     0     1     1    13
 -4.6789817118347976E-01 a        14     0     1     1    14
 -6.2317815631646623E-01 a        15     0     1     1    15
 -6.0166031719872427E-02 a        16     0     1     1    16
  6.8816774070607892E-02 a        17     0     1     1    17
  6.0076371006748883E-02 a        18     0     1     1    18
 -1.9541025704805878E-01 a        19     0     1     1    19
 -1.1479001965921859E-02 a        20     0     1     1    20
  1.1971491567715629E-01 a        21     0     1     1    21
 -9.2597262639069713E-02 a        22     0     1     1    22
 -3.0791920063162925E-01 a        23     0     1     1    23
 -8.1690731993084575E-02 a        24     0     1     1    24
 -7.9382186803265961E-02 a        25     0     1     1    25
 -6.7740239351992540E-02 a        26     0     1     1    26
 -1.6720121718727615E-01 a        27     0     1     1    27
  6.9136115815984249E-03 a        28     0     1     1    28
 -2.1747878245105126E-01 a        29     0     1     1    29
  2.0638746994738147E-01 a        30     0     1     1    30
  9.8714079175068303E-02 a        31     0     2     1     1
 -2.2340439084405744E-01 a        32     0     2     1     2
 -3.2846434134893507E-02 a        33     0     2     1     3
  2.0933506235468397E-01 a        34     0     2     1     4
  6.1584424838628922E-02 a        35     0     2     1     5
 -2.1793870554174299E-01 a        36     0     2     1     6
 -1.8574027145633548E-01 a        37     0     2     1     7
 -1.7276860820173373E-01 a        38     0     2     1     8
  5.5806653474177778E-02 a        39     0     2     1     9
 -4.0273614284384779E-01 a        40     0     2     1    10
 -4.3428442529739586E-01 a        41     0     2     1    11
 -1.4144115635957188E-01 a        42     0     2     1    12
 -3.3817254828178672E-01 a        43     0     2     1    13
 -8.8684124903432776E-02 a        44     0     2     1    14
 -3.5039566181340753E-01 a        45     0     2     1    15
  7.4150060491126352E-02 a        46     0     2     1    16
 -3.2941161977297156E-02 a        47     0     2     1    17
  2.0545530753184321E-01 a        48     0     2     1    18
 -8.6929416602795490E-02 a        49     0     2     1    19
 -1.4474758469654572E-01 a        50     0     2     1    20
  1.1282218100075377E-01 a        51     0     2     1    21
  1.8395441717315689E-01 a        52     0     2     1    22
  3.6142223397800051E-02 a        53     0     2     1    23
 -3.2521195657915819E-01 a        54     0     2     1    24
 -5.6969681806453405E-02 a        55     0     2     1    25
 -3.7644687722719963E-02 a        56     0     2     1    26
 -1.2325860291591544E-01 a        57     0     2     1    27
 -2.7313034728432317E-01 a        58     0     2     1    28
 -2.0649935791728379E-02 a        59     0     2     1    29
  1.9994061243361927E-01 a        60     0     2     1    30
  2.3902845203741399E-03 a        61     0     3     1     1
  2.3503657341427769E-01 a        62     0     3     1     2
 -2.5472004945895560E-01 a        63     0     3     1     3
 -5.1608210472932348E-02 a        64     0     3     1     4
 -5.7548193379479862E-02 a        65     0     3     1     5
  5.3808655762356383E-02 a        66     0     3     1     6
 -3.5481307942626350E-01 a        67     0     3     1     7
  2.9065389714712921E-02 a        68     0     3     1     8
 -2.2586363602966061E-01 a        69     0     3     1     9
 -2.5505540948693040E-01 a        70     0     3     1    10
  1.7791998956212021E-01 a        71     0     3     1    11
 -1.0989615370577087E-01 a        72     0     3     1    12
  2.1697913669992624E-01 a        73     0     3     1    13
  6.9308009340665638E-02 a        74     0     3     1    14
 -2.9918352182378199E-01 a        75     0     3     1    15
 -1.1255016023972048E-01 a        76     0     3     1    16
 -1.6220728960575231E-02 a        77     0     3     1    17
 -9.6439011238199951E-02 a        78     0     3     1    18
  1.9672693511616204E-01 a        79     0     3     1    19
 -1.1978885363669389E-01 a        80     0     3     1    20
 -8.5077722880742192E-03 a        81     0     3     1    21
  1.5228567283391417E-01 a        82     0     3     1    22
  9.8942372453159538E-02 a        83     0     3     1    23
  1.9974152036895065E-02 a        84     0     3     1    24
 -8.1343286048267863E-02 a        85     0     3     1    25
 -3.1087049107627074E-01 a        86     0     3     1    26
 -1.2711327501885308E-01 a        87     0     3     1    27
 -6.8567870567883271E-02 a        88     0     3     1    28
  1.0171658486232278E-01 a        89     0     3     1    29
 -7.3742537169892500E-02 a        90     0     3     1    30
