################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0655164345452043E-02   2.3440696847381456E-01   1.2204049696669059E-01   8.1780002554946492E-03
         1          2   3.8016850704442509E-02   2.2726192798647535E-01   1.1799899947804232E-01   7.8033644001509628E-03
         1          3   3.2766558214798146E-02   2.1215605548327598E-01   1.0953601719353448E-01   7.1212523545839427E-03
         1          4   2.6249702274493379E-02   1.9136332195191708E-01   9.8060192616970798E-02   6.4053887566157368E-03
         1          5   1.3596089099111209E-02   1.4045639494441481E-01   7.0736751422321761E-02   5.3894541327069558E-03
         1          6   3.2629393314245345E-02   2.3075852971368430E-01   1.1844403491470788E-01   7.4673394783646213E-03
         1          7   2.6192551486342301E-02   2.2639270072572143E-01   1.1495670721727577E-01   7.3331087321720206E-03
         1          8   1.7164900346052329E-02   2.1792418105838934E-01   1.0906923204163775E-01   7.9845432516039167E-03
         1          9   7.5429219703062628E-02   8.8452251650933889E-01   2.2618309516318888E-01   6.7286685544805255E-02
         1         10   6.8205589874702363E-02   8.2224711369037284E-01   2.0167338494607956E-01   5.9683392826412301E-02
         1         11   5.4605484566023578E-02   7.0321306645577464E-01   1.5730353552128160E-01   4.6309514874895451E-02
         1         12   3.8219216849517991E-02   5.6355409282453328E-01   1.1002682022624349E-01   3.2821644450874765E-02
         1         13   9.3046596426250155E-03   3.4429087143545645E-01   4.1159749927540144E-02   1.5239497950761040E-02
         1         14   3.9399287240065917E-02   6.8252445152943397E-01   1.2580123680779670E-01   3.7826666802164385E-02
         1         15   1.5643988534098853E-02   5.9368970520659214E-01   7.7804258203225646E-02   2.7359338637251481E-02
         1         16   3.5259911102614255E-01   4.2919943459749890E+00   2.2931831705982644E+00   6.8088984362615845E-01
         1         17   3.5649610384648117E-01   2.4142295729736039E+00   1.3657002063176993E+00   3.5233365709694292E-01
         1         18   2.8208091274908059E-01   3.4148354340121663E+00   1.7507200525477198E+00   5.1640842581280877E-01
         1         19   3.2887712885313825E-01   1.9739705664269973E+00   1.0905100390475972E+00   2.6943118685259149E-01
         1         20   2.0178106352463668E-01   2.2724265568679303E+00   1.0521420506275350E+00   3.0774506194255991E-01
         1         21   2.9495382054136365E-01   1.3767302130213146E+00   7.3422065718600593E-01   1.6413783370489382E-01
         1         22   1.4338775559086042E-01   1.5255510859820938E+00   5.6955522857617158E-01   1.6500610277997940E-01
         1         23   2.5033071278172725E-01   9.1931612122777107E-01   4.8496262046636440E-01   9.2098812327426588E-02
         1         24   4.8649202664357877E-02   6.6418815360267913E-01   1.4583523869648646E-01   4.1795159334435998E-02
         1         25   1.3710137950189893E-01   4.2932757051754988E-01   2.4327694758982904E-01   2.8435931004223841E-02
         1         26   1.5845552020007456E-01   1.6858245285276348E+00   5.4031807063440973E-01   1.5762260720089163E-01
         1         27   3.0408364588379877E-01   1.0010605862988418E+00   5.1302303121264992E-01   9.2952409586443283E-02
         1         28   9.2385869363094550E-02   1.1940070386857746E+00   2.5851743713834618E-01   7.4091704093493624E-02
         1         29   2.5008009988962893E-01   7.2601592755013467E-01   4.0002442552960171E-01   5.5295662641360183E-02
         1         30   1.5708246506807602E-01   6.0804171568482557E-01   3.3307295429439637E-01   2.9959328177877935E-02
