################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9887869461510866E-01 a         1     0     1     1     1
  4.5462893101545343E-01 a         2     0     1     1     2
 -3.1659863297073032E-01 a         3     0     1     1     3
 -3.2258173737566537E-02 a         4     0     1     1     4
 -1.1864485712025437E-01 a         5     0     1     1     5
 -4.7076999051306197E-02 a         6     0     1     1     6
  3.4252725024088393E-01 a         7     0     1     1     7
  6.2397283164800199E-01 a         8     0     1     1     8
  1.6980815996187362E-02 a         9     0     1     1     9
  1.2086108770795155E-01 a        10     0     1     1    10
 -1.0455602424725301E-02 a        11     0     1     1    11
  1.5847014089699357E-01 a        12     0     1     1    12
  4.7069098125079417E-01 a        13     0     1     1    13
 -8.0272194965611288E-01 a        14     0     1     1    14
  1.9715864874204780E-01 a        15     0     1     1    15
  5.7657654712104656E-02 a        16     0     1     1    16
  2.6187292952653807E-01 a        17     0     1     1    17
 -1.7882425278310118E-01 a        18     0     1     1    18
 -3.5891388935137186E-01 a        19     0     1     1    19
  1.5213288677774453E-01 a        20     0     1     1    20
 -1.0847332776964722E-01 a        21     0     2     1     1
  3.1475752051094247E-01 a        22     0     2     1     2
 -3.0662287589184561E-01 a        23     0     2     1     3
 -2.5831786255922934E-01 a        24     0     2     1     4
 -2.9955706397676540E-01 a        25     0     2     1     5
  2.6342342886950898E-01 a        26     0     2     1     6
  1.3593147954938559E-01 a        27     0     2     1     7
  1.1273913170713919E-01 a        28     0     2     1     8
  4.5937190419041080E-01 a        29     0     2     1     9
  3.2769566607165335E-01 a        30     0     2     1    10
  4.2678646949081911E-01 a        31     0     2     1    11
 -8.9112453534736805E-02 a        32     0     2     1    12
  1.7854697400623423E-01 a        33     0     2     1    13
 -2.0114475188546713E-01 a        34     0     2     1    14
  1.6253075030601305E-01 a        35     0     2     1    15
  2.8292480538689251E-02 a        36     0     2     1    16
  9.7103552047896682E-02 a        37     0     2     1    17
 -2.6765085487911183E-01 a        38     0     2     1    18
 -9.7851618840191001E-02 a        39     0     2     1    19
  7.2211402803099095E-02 a        40     0     2     1    20
 -2.1152435622109200E-01 a        41     0     3     1     1
  5.6324044985357362E-02 a        42     0     3     1     2
 -1.6979746774133891E-01 a        43     0     3     1     3
 -2.1961063458515992E-01 a        44     0     3     1     4
 -2.6612882003967736E-01 a        45     0     3     1     5
 -3.1496363831505869E-01 a        46     0     3     1     6
  1.6920780984850226E-01 a        47     0     3     1     7
 -1.1989969527314638E-01 a        48     0     3     1     8
  1.2369817783519024E-01 a        49     0     3     1     9
  8.9744942604949654E-02 a        50     0     3     1    10
  4.0264900963970791E-02 a        51     0     3     1    11
  2.3155787684706619E-01 a        52     0     3     1    12
  1.3973098939466915E-02 a        53     0     3     1    13
  1.4962867534007596E-01 a        54     0     3     1    14
  7.7447767433741072E-02 a        55     0     3     1    15
 -4.3957706170195225E-02 a        56     0     3     1    16
  9.1298149860050498E-02 a        57     0     3     1    17
  2.3522115352129302E-01 a        58     0     3     1    18
  2.6629041954674866E-02 a        59     0     3     1    19
 -1.5612855217553853E-01 a        60     0     3     1    20
 -1.9663287822313277E-01 a        61     0     4     1     1
 -1.1413145681038786E-01 a        62     0     4     1     2
 -4.8128221034487317E-01 a        63     0     4     1     3
  3.7565585734401091E-01 a        64     0     4     1     4
  3.3352745292981364E-02 a        65     0     4     1     5
 -2.0711722407059169E-01 a        66     0     4     1     6
  1.5090473808667818E-01 a        67     0     4     1     7
 -9.0418718421289665E-02 a        68     0     4     1     8
  4.0455098952075530E-01 a        69     0     4     1     9
 -3.1256618290200311E-01 a        70     0     4     1    10
  5.7690099979032213E-03 a        71     0     4     1    11
  6.6990877219749279E-02 a        72     0     4     1    12
 -4.1467509139998626E-01 a        73     0     4     1    13
  2.9317921949035958E-01 a        74     0     4     1    14
