################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.9484441673230707E-02   2.3440696847381454E-01   1.2312259905089672E-01   1.0639552562945810E-02
         1          2   2.7549728033084878E-02   2.2726192798647532E-01   1.1899392023294726E-01   1.0131477208113419E-02
         1          3   2.3696838471475520E-02   2.1215605548327593E-01   1.1035576489211502E-01   9.1711812139334790E-03
         1          4   1.8911309852731480E-02   1.9136332195191702E-01   9.8659632250184065E-02   8.0909095372260782E-03
         1          5   9.6329771115097711E-03   1.4045639494441475E-01   7.0904555537125699E-02   6.3816159301828181E-03
         1          6   2.3540555548794001E-02   2.3075852971368427E-01   1.1926186284481527E-01   9.6600904143262015E-03
         1          7   1.8701950755583060E-02   2.2639270072572137E-01   1.1553269977954718E-01   9.2349457615622989E-03
         1          8   1.0579502789907897E-02   2.1792418105838932E-01   1.0924405996033709E-01   9.4902974386642247E-03
         1          9   6.3331064644744473E-02   9.5731760341277694E-01   2.4416944692929601E-01   8.9910370282102942E-02
         1         10   5.2204470326342609E-02   8.6391974353141632E-01   2.1770006075925005E-01   8.0096107144131581E-02
         1         11   3.4059729882902304E-02   7.0683847092995455E-01   1.6972862169077252E-01   6.2468188667289953E-02
         1         12   1.8051394238171165E-02   5.6355409282453328E-01   1.1854504289289733E-01   4.4022845411846319E-02
         1         13   2.7878159536669938E-03   3.4429087143545639E-01   4.3977321359725201E-02   1.8486902698672703E-02
         1         14   1.5298904963790468E-02   6.8252445152943397E-01   1.3544992732387684E-01   5.0787902903881320E-02
         1         15   3.8666503294789924E-03   5.9368970520659203E-01   8.3107714933494961E-02   3.4037106095808907E-02
         1         16   3.5259911102614244E-01   7.4476055169233781E+00   2.4567599959027273E+00   8.4715359923415412E-01
         1         17   3.5649610384648067E-01   4.3204464430223650E+00   1.4533278655748065E+00   4.4488597486920700E-01
         1         18   2.8208091274908054E-01   5.6923989470457439E+00   1.8752493734397655E+00   6.4428583227528702E-01
         1         19   3.2887712885313775E-01   3.4034422187015845E+00   1.1575955101052173E+00   3.4121810681604303E-01
         1         20   2.0178106352463662E-01   3.5290726860102599E+00   1.1273407353909897E+00   3.8727696666307232E-01
         1         21   2.9495382054136293E-01   2.2035354279566106E+00   7.7506033764224835E-01   2.0941166653576535E-01
         1         22   1.4338775559086037E-01   2.0567618003688426E+00   6.1113124447213307E-01   2.1151270227722546E-01
         1         23   2.5033071278172714E-01   1.3549328110201757E+00   5.0757949981549710E-01   1.1873146800084791E-01
         1         24   4.3988833396259260E-02   6.6418815360267902E-01   1.5682861475964427E-01   5.5891401485875111E-02
         1         25   1.1167833533263614E-01   5.6510781745081695E-01   2.4938047715661626E-01   3.7036286610759035E-02
         1         26   1.5845552020007456E-01   2.1056604612212784E+00   5.8128628599907928E-01   2.0608738454307673E-01
         1         27   2.9244669168562004E-01   1.4311489570530878E+00   5.3492521936354642E-01   1.1985353528196629E-01
         1         28   5.4102766729286926E-02   1.2023861405490943E+00   2.7854164805844328E-01   1.0100824099342805E-01
         1         29   2.0206041624504836E-01   9.7671699857759975E-01   4.1115030828964583E-01   7.0544597044772714E-02
         1         30   1.1790780824510523E-01   6.8700554118559276E-01   3.3836145158927600E-01   3.9311217999200655E-02
         1         31   1.2896018761706231E-04   1.7862199298954710E-02   1.4124073189943002E-03   7.9858505109253221E-04
         1         32   7.9098031198066574E-04   5.3172878192155132E-02   9.8691950743613373E-03   2.8902995087714055E-03
         1         33   1.0461333123247961E-05   9.2102231117107622E-03   2.9545084385214414E-04   3.8364519856527469E-04
         1         34   6.5084686946940550E-04   4.4397812738933777E-02   8.7522385992192149E-03   2.4662986525157615E-03
         1         35   5.7338745978216922E-04   3.7688635382150996E-02   7.8125611350231619E-03   2.1695849433029553E-03
         1         36   1.3032336153739233E-03   1.0283970721726524E-01   1.0542239254343989E-02   7.1085164267113326E-03
         1         37   1.5700369048815100E-02   3.1119489850297422E-01   4.9167351905078580E-02   2.1718780397222436E-02
         1         38   9.4524748842348758E-05   4.7158479033022886E-02   4.0830766243511616E-03   3.4227733418883909E-03
         1         39   1.3646820479686066E-02   2.5612531639676595E-01   4.2708189275085767E-02   1.7989435521006136E-02
         1         40   1.2037605217389252E-02   2.1933931770130866E-01   3.7894343351802549E-02   1.5534888068778134E-02
         1         41   2.9594986380974082E-07   1.3701733894266827E-01   2.1750476753785646E-02   1.3839216982249264E-02
         1         42   4.7222074258663606E-05   4.6625281520400541E-01   4.6464844844488928E-02   3.7272000265489519E-02
         1         43   4.2336432545314640E-06   2.1251205765277503E-01   2.5024261474079885E-02   1.7860558423769390E-02
         1         44   3.0311614448117887E-02   1.3196152753433747E+00   2.2377178501067457E-01   1.1496072707428952E-01
         1         45   2.5643397170953437E-03   3.0877304630464303E-01   3.4619360028379800E-02   2.3690890024412367E-02
         1         46   4.5664874521218324E-07   1.1598020063612779E-01   1.2285152602815732E-02   9.0365507396294557E-03
         1         47   2.8049054067610532E-02   8.4395657141587710E-01   1.2940199428960730E-01   6.5528532076040147E-02
         1         48   2.7819567058408803E-06   1.6956044079638574E-01   1.2565181859141598E-02   1.1565684908089678E-02
         1         49   9.8181695655273757E-04   6.4560438407557028E-02   6.6470094915034358E-03   4.1937387410645229E-03
         1         50   8.9548007768097768E-03   2.0334441057822664E-01   3.4166390639161721E-02   1.3345539007514994E-02
         1         51   5.5561197571847336E-05   1.4953421014523264E-02   2.4209863299701744E-03   5.9560131115411199E-04
         2          1   1.0786804244512604E-01   4.4612322041070074E-01   2.4624519810179277E-01   1.8178420239197732E-02
         2          2   1.0299383567506755E-01   4.3012616595953412E-01   2.3798784046589488E-01   1.7508719050384133E-02
         2          3   9.1052436190702510E-02   3.9672300819729978E-01   2.2071152978423009E-01   1.6196276275202495E-02
         2          4   7.3427923066000753E-02   3.5310008528068576E-01   1.9731926450036791E-01   1.4598060196470815E-02
         2          5   3.7188294418934294E-02   2.7402137299202578E-01   1.4180911107425170E-01   1.1427467433576215E-02
         2          6   9.1124406359867210E-02   4.2811790250894977E-01   2.3852372568963104E-01   1.7403355000797861E-02
         2          7   7.1900540035898491E-02   4.1249337946386100E-01   2.3106539955909458E-01   1.7076916133904843E-02
         2          8   4.5487749420160081E-02   4.0443761467082906E-01   2.1848811992067413E-01   1.7313364560505116E-02
         2          9   7.8879973827563099E-01   7.8541207333873340E+00   2.9066557311496140E+00   8.4334118086333498E-01
         2         10   5.6043521508272846E-02   3.9525000337772673E+00   1.1260276076666875E+00   4.3853249249036119E-01
         2         11   7.0511359252019035E-01   6.0840666157216052E+00   2.3151910202104213E+00   6.3622623711195614E-01
         2         12   2.8908163298065847E-02   3.0307213564191837E+00   8.2945563239021503E-01   3.3119842812078609E-01
         2         13   6.8955366213636279E-03   1.8200454160372002E+00   4.4899075790184151E-01   1.9403197705276917E-01
         2         14   6.8938122629366161E-01   5.2756460445557805E+00   2.0538630679207124E+00   5.3907108863564213E-01
         2         15   5.2702456842913425E-01   2.3302748150740777E+00   1.0151589996309924E+00   2.0122631005348218E-01
         2         16   8.6482689342528207E-04   9.5785211955458771E-01   1.9628892234815562E-01   9.8433826192143636E-02
         2         17   3.3403957994830205E-03   1.8645787960715579E+00   4.3285444806777257E-01   1.9773843573999689E-01
         2         18   1.1509617277567725E-04   5.4445955066749907E-01   9.0677660553475176E-02   5.3220488080979303E-02
         2         19   3.1458493121440784E-01   9.8730709664523042E-01   4.9876095431323364E-01   5.5980484790158609E-02
         2         20   2.2428343704680894E-06   2.0509329736838058E-01   2.1053678628199089E-02   1.6762397491306969E-02
         2         21   1.1536128845765202E-01   4.4647950016889054E-01   2.4970899624907966E-01   1.8411554880015085E-02
         2         22   1.2538410751013224E-02   1.8379362600817478E-01   8.1869205892339134E-02   8.4891085033926648E-03
         2         23   5.5889976911879216E-04   2.9347174549643775E-02   6.6286073764202603E-03   1.5630779748017421E-03
         2         24   5.6477018377474740E-04   3.6757193837807414E-02   4.6529950169353958E-03   1.9860229691559057E-03
         2         25   2.7390127362301455E-04   1.7163398488085832E-02   4.1129335789645604E-03   9.6695982330123359E-04
         2         26   1.5867010119369757E-04   2.4521501055957264E-02   2.1373212194796916E-03   1.3707657197868962E-03
         2         27   1.7130589739932967E-04   1.2236629828115625E-02   2.6176192681878581E-03   6.8740008150630205E-04
         2         28   9.1584375697057741E-03   1.3758247001193710E-01   2.9430359409716340E-02   9.8227698921313639E-03
         2         29   5.0220772539124620E-03   2.2279398511047852E-01   3.0279231749706186E-02   1.6716832422993669E-02
         2         30   2.8000148774369473E-03   7.5751741417392410E-02   1.7625980921262670E-02   5.3389862340828967E-03
         2         31   1.5601809665603734E-03   1.6026933069538199E-01   1.8474853261252411E-02   1.2174870939523096E-02
         2         32   9.6803935181300242E-04   4.8763905839833484E-02   1.1391596755141325E-02   3.5194206514488247E-03
         2         33   3.1673532450123379E-05   3.0877581505515334E-01   3.2325957150606426E-02   2.2951013610092028E-02
         2         34   1.6856784286406129E-16   6.0102980977654277E-02   2.4702713272528347E-03   3.2519433341280132E-03
         2         35   2.5819347933419938E-03   2.2053166649767104E+00   3.3642694631377429E-01   2.0390530584815286E-01
