################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1736932914393965E-01 a         1     0     1     1     1
 -1.1540608374341449E-01 a         2     0     1     1     2
  1.0287021892389352E-01 a         3     0     1     1     3
  1.9645251784955428E-01 a         4     0     1     1     4
 -1.2055262123158274E-01 a         5     0     1     1     5
  2.7071585032894002E-01 a         6     0     1     1     6
  1.6100660575297368E-01 a         7     0     1     1     7
  1.1293897763716503E-01 a         8     0     1     1     8
  3.5143948475763376E-01 a         9     0     1     1     9
  2.6038902768474037E-01 a        10     0     1     1    10
  4.4646723987131054E-01 a        11     0     1     1    11
 -3.6126068451194099E-01 a        12     0     1     1    12
  3.8339452689897058E-01 a        13     0     1     1    13
  9.1524650078859432E-02 a        14     0     1     1    14
 -3.2545020193266033E-01 a        15     0     1     1    15
 -1.7019257236798022E-01 a        16     0     1     1    16
  2.2811162442658053E-01 a        17     0     1     1    17
 -1.3807415365805731E-01 a        18     0     1     1    18
  6.1044929574801975E-02 a        19     0     1     1    19
 -4.3260484283268161E-02 a        20     0     1     1    20
  6.7316226985227337E-02 a        21     0     1     1    21
 -2.4548382297222662E-01 a        22     0     1     1    22
 -3.5331101701832970E-02 a        23     0     1     1    23
  4.6711243536799579E-01 a        24     0     1     1    24
  3.4659114680661252E-01 a        25     0     1     1    25
 -5.2670989141961200E-01 a        26     0     1     1    26
  2.0615877579702728E-02 a        27     0     1     1    27
 -4.8025104280011430E-02 a        28     0     1     1    28
 -6.8352200355227877E-02 a        29     0     1     1    29
  5.2983916370439277E-01 a        30     0     1     1    30
 -1.1242937454391058E-01 a        31     0     2     1     1
  3.9522223582781651E-02 a        32     0     2     1     2
  3.5816210590654159E-02 a        33     0     2     1     3
  4.9797489291858416E-01 a        34     0     2     1     4
  1.5521217094870085E-01 a        35     0     2     1     5
 -4.5599821251516175E-02 a        36     0     2     1     6
 -4.0649443247685560E-02 a        37     0     2     1     7
 -1.8770807983316334E-01 a        38     0     2     1     8
  2.2423245567656061E-01 a        39     0     2     1     9
 -3.3879611834513074E-01 a        40     0     2     1    10
  1.8950018295872040E-01 a        41     0     2     1    11
  1.7079748198218309E-01 a        42     0     2     1    12
 -5.4845740499573310E-02 a        43     0     2     1    13
  1.5057840746734216E-01 a        44     0     2     1    14
 -3.4841512598683781E-03 a        45     0     2     1    15
  1.1913324778947282E-01 a        46     0     2     1    16
 -6.7212891413427539E-02 a        47     0     2     1    17
 -1.4520468571359238E-01 a        48     0     2     1    18
 -4.3075186097625673E-01 a        49     0     2     1    19
  2.9742682040161400E-01 a        50     0     2     1    20
 -7.7713804728643601E-02 a        51     0     2     1    21
 -1.6747408639286546E-01 a        52     0     2     1    22
 -4.0936243267936784E-01 a        53     0     2     1    23
  2.1486861313155278E-01 a        54     0     2     1    24
  1.1951252389228757E-01 a        55     0     2     1    25
 -5.0605432323130628E-01 a        56     0     2     1    26
  2.2709454516640934E-01 a        57     0     2     1    27
